date,sales
1992-01-01,237.34
1992-02-01,230.37
1992-03-01,226.59
1992-04-01,216.0
1992-05-01,205.18
1992-06-01,194.51
1992-07-01,196.25
1992-08-01,199.73
1992-09-01,207.24
1992-10-01,214.87
1992-11-01,234.64
1992-12-01,233.71
1993-01-01,248.72
1993-02-01,232.44
1993-03-01,239.58
1993-04-01,219.37
1993-05-01,220.93
1993-06-01,209.26
1993-07-01,207.3
1993-08-01,202.52
1993-09-01,213.29
1993-10-01,222.48
1993-11-01,230.8
1993-12-01,247.65
1994-01-01,248.57
1994-02-01,249.93
1994-03-01,242.1
1994-04-01,234.81
1994-05-01,225.45
1994-06-01,218.82
1994-07-01,217.73
1994-08-01,215.56
1994-09-01,219.74
1994-10-01,228.26
1994-11-01,242.04
1994-12-01,252.95
1995-01-01,254.09
1995-02-01,257.21
1995-03-01,250.16
1995-04-01,244.01
1995-05-01,237.17
1995-06-01,223.22
1995-07-01,218.28
1995-08-01,226.49
1995-09-01,231.76
1995-10-01,237.89
1995-11-01,257.42
1995-12-01,269.28
1996-01-01,270.69
1996-02-01,261.04
1996-03-01,261.12
1996-04-01,251.25
1996-05-01,243.42
1996-06-01,235.51
1996-07-01,229.31
1996-08-01,224.77
1996-09-01,246.56
1996-10-01,255.26
1996-11-01,269.21
1996-12-01,275.18
1997-01-01,286.45
1997-02-01,274.37
1997-03-01,269.83
1997-04-01,255.9
1997-05-01,249.01
1997-06-01,246.51
1997-07-01,240.34
1997-08-01,248.85
1997-09-01,255.84
1997-10-01,262.17
1997-11-01,273.41
1997-12-01,282.02
1998-01-01,286.85
1998-02-01,293.23
1998-03-01,279.03
1998-04-01,265.89
1998-05-01,263.11
1998-06-01,251.3
1998-07-01,246.33
1998-08-01,257.0
1998-09-01,273.28
1998-10-01,270.57
1998-11-01,281.09
1998-12-01,297.94
1999-01-01,290.85
1999-02-01,301.16
1999-03-01,284.16
1999-04-01,276.28
1999-05-01,267.03
1999-06-01,268.09
1999-07-01,266.86
1999-08-01,265.29
1999-09-01,280.43
1999-10-01,283.33
1999-11-01,297.1
1999-12-01,310.03
2000-01-01,306.78
2000-02-01,305.49
2000-03-01,296.32
2000-04-01,292.97
2000-05-01,286.66
2000-06-01,259.43
2000-07-01,267.92
2000-08-01,280.48
2000-09-01,278.49
2000-10-01,291.47
2000-11-01,301.4
2000-12-01,310.74
2001-01-01,315.61
2001-02-01,316.33
2001-03-01,294.66
2001-04-01,293.25
2001-05-01,293.88
2001-06-01,282.44
2001-07-01,286.17
2001-08-01,278.64
2001-09-01,289.22
2001-10-01,296.28
2001-11-01,325.85
2001-12-01,330.22
2002-01-01,322.58
2002-02-01,324.27
2002-03-01,311.21
2002-04-01,302.14
2002-05-01,302.2
2002-06-01,287.55
2002-07-01,289.24
2002-08-01,296.53
2002-09-01,306.43
2002-10-01,309.44
2002-11-01,321.85
2002-12-01,329.56
2003-01-01,341.01
2003-02-01,341.88
2003-03-01,326.47
2003-04-01,321.96
2003-05-01,316.3
2003-06-01,302.31
2003-07-01,301.27
2003-08-01,300.8
2003-09-01,314.6
2003-10-01,324.52
2003-11-01,339.09
2003-12-01,340.09
2004-01-01,338.97
2004-02-01,350.39
2004-03-01,333.5
2004-04-01,322.7
2004-05-01,314.84
2004-06-01,307.25
2004-07-01,308.06
2004-08-01,314.49
2004-09-01,319.36
2004-10-01,332.95
2004-11-01,344.95
2004-12-01,355.33
2005-01-01,345.62
2005-02-01,355.93
2005-03-01,337.59
2005-04-01,346.17
2005-05-01,321.55
2005-06-01,318.21
2005-07-01,316.43
2005-08-01,320.9
2005-09-01,326.88
2005-10-01,342.33
2005-11-01,354.17
2005-12-01,365.81
2006-01-01,368.71
2006-02-01,371.03
2006-03-01,359.28
2006-04-01,342.2
2006-05-01,343.69
2006-06-01,338.18
